FEN;d19;d20
1B1R4/p5rk/2p1P1bp/8/2P2p2/2N1bK1P/P7/8 b - - 0 45;0;0
1B1R4/p5rk/2p1P2p/5b2/2P2p2/2N1bK1P/P7/8 w - - 1 45;0;0
1B1R4/p5rk/2p3bp/4P3/2P2p2/2N1bK1P/P7/8 w - - 8 44;0;0
1B1R4/p6k/1pp1rp2/2b3p1/4b3/2P2BPP/P4PK1/8 b - - 1 31;10;16
1B1R4/p6p/2p1kpp1/2b5/1r6/6P1/P1P2P1P/6K1 w - - 1 33;-105;-111
1B1R4/p6p/8/P4kp1/3b4/3r4/5P2/5K2 b - - 3 48;38;63
1B1R4/p6p/8/P4kp1/3b4/3r4/5P2/6K1 w - - 2 47;-43;-42
1B1R4/p6p/8/P4kp1/3b4/7r/5P2/6K1 b - - 1 47;94;85
1B1R4/p7/1p2bpk1/2p5/4r3/P7/1P1K3P/8 b - - 1 47;44;45
1B1R4/p7/1p2bpk1/2p5/r7/P7/1P1K3P/8 w - - 2 47;-49;-36
1B1R4/p7/1p3kp1/1Pp1p2p/2P1P3/3P2q1/P5N1/6K1 b - - 1 44;-135;-129
1B1R4/p7/1p3kp1/1Pp1p3/2P1P2p/3P2q1/P5N1/6K1 w - - 0 44;120;127
1B1R4/p7/1p4kb/5n2/P3p1n1/1P6/2N1K3/8 b - - 5 55;-264;-270
1B1R4/p7/2k1r3/2pp4/K3p3/8/8/8 b - - 5 45;244;257
1B1R4/p7/2k1r3/2pp4/K7/4p3/8/8 w - - 0 45;-241;-247
1B1R4/p7/2k2K2/4P3/2p2pb1/2P5/2P1pr2/8 w - - 2 73;-1065;-1091
1B1R4/p7/4k1p1/1r6/3p1P2/K1b4R/P7/1r6 w - - 28 63;-508;-511
1B1R4/p7/5K2/3kP3/2p2pb1/2P5/2P1pr2/8 b - - 1 73;1187;1222
1B1R4/p7/6p1/1r1k4/3p1P2/K1b4R/P7/1r6 b - - 27 63;2208;2191
1B1R4/p7/6p1/1r1k4/3p1P2/K1b5/P4R2/6r1 b - - 17 58;433;431
1B1R4/p7/6p1/1r6/2kp1P2/K1b5/P4R2/6r1 w - - 18 58;-441;-441
1B1R4/p7/8/P4kpp/3b4/3r4/5P2/5K2 w - h6 0 48;161;163
1B1R4/pB3ppk/4b2p/8/8/6P1/Pb3P1P/6K1 w - - 4 26;731;746
1B1R4/pB3ppk/4b2p/8/P7/6P1/1b3P1P/6K1 b - a3 0 27;-675;-688
1B1R4/pb3rk1/1p2R1np/2p3p1/8/2P2P2/P5PP/6K1 w - - 2 36;316;322
1B1R4/pb3rk1/1p2R2p/2p3p1/7n/2P2P2/P5PP/6K1 b - - 1 36;-306;-304
1B1R4/pp2k1pp/6r1/4P3/8/1P4P1/P1P4n/2K5 w - - 7 30;131;127
1B1R4/pp2r1bk/2p1b1p1/1P6/P1P1B2p/5P2/8/6K1 w - - 1 42;25;32
1B1R4/pp2r1bk/2p3p1/1P6/P1P1B2p/5P1b/8/6K1 b - - 0 42;22;17
1B1R4/pp2r1bk/2p3p1/1P6/P1P1B2p/7b/5P2/6K1 w - - 2 41;-49;-26
1B1R4/pp2r1pk/1pp2p2/7p/7P/2r3P1/P4RK1/8 b - - 1 30;0;0
1B1R4/pp2r3/8/5n2/P1P1kP2/2K5/8/8 b - - 10 53;-74;-68
1B1R4/pp2r3/8/5n2/P1P1kP2/2K5/8/8 b - - 6 51;-74;-68
1B1R4/pp2r3/8/5n2/P1P2P2/2K1k3/8/8 w - - 11 53;124;123
1B1R4/pp2r3/8/5n2/P1P2P2/2K1k3/8/8 w - - 7 51;124;123
1B1R4/pp2r3/8/P4n2/2P1kP2/2K5/8/8 w - - 1 54;141;140
1B1R4/pp2r3/8/P4n2/2P2P2/2K1k3/8/8 b - - 0 54;-76;-75
1B1R4/pp2rk1p/2p5/2n3pb/2P5/1P4PB/P4K1P/8 b - - 7 32;44;62
1B1R4/pp2rkpp/8/P1p5/2p1n1PP/4P3/1PP5/2K5 b - - 2 36;10;2
1B1R4/pp2rpbk/5npp/1B2n2q/4p3/2N1P1QP/PP3PP1/6K1 b - - 13 26;-48;-48
1B1R4/pp3k1B/2p5/2n4p/2P3bP/1P6/r7/5K2 b - - 2 38;200;206
1B1R4/pp3k1B/2p5/7p/2P3bP/1n6/r7/5K2 w - - 0 38;-198;-194
1B1R4/pp3k1p/2p5/2n2Bp1/2P5/1P3bP1/r6P/5K2 b - - 3 35;198;216
1B1R4/pp3k1p/2p5/2n3pb/2P5/1P4PB/P3r2P/5K2 b - - 9 33;106;104
1B1R4/pp3k1p/2p5/2n3pb/2P5/1P4PB/P3rK1P/8 w - - 8 32;-65;-59
1B1R4/pp3k1p/2p5/2n3pb/2P5/1P4PB/r6P/5K2 w - - 0 33;-115;-123
1B1R4/pp3k1p/2r3p1/P5P1/4pN2/4b3/b1r5/R6K w - - 2 46;-287;-293
1B1R4/pp3k2/2p5/2n2B1p/2P3bP/1P6/r7/5K2 w - - 1 37;-29;-23
1B1R4/pp3k2/2p5/2n2B1p/2P4P/1P3b2/r7/5K2 b - - 0 37;187;189
1B1R4/pp3k2/2p5/2n2B1p/2P4p/1P3bP1/r7/5K2 w - - 0 36;-181;-193
1B1R4/pp3k2/2p5/2n2Bpp/2P4P/1P3bP1/r7/5K2 b - h3 0 36;180;176
1B1R4/pp3k2/2p5/2n2Bpp/2P5/1P3bP1/r6P/5K2 w - h6 0 35;-111;-118
1B1R4/pp3k2/6pp/8/4n3/1PP5/1r5P/6K1 w - - 2 30;-60;-61
1B1R4/pp3k2/6pp/8/4n3/1PP5/5r1P/6K1 b - - 1 30;80;74
1B1R4/pp3kp1/5p2/2b3p1/8/1P5P/P1P1rPPK/8 w - - 7 32;68;62
1B1R4/pp3kpp/6r1/4P3/8/1P4P1/P1P4n/2K5 b - - 6 30;-110;-124
1B1R4/pp3pbk/4p2p/4P3/4r3/2P5/PP4P1/6K1 w - - 4 40;76;69
1B1R4/pp3pbp/2k3p1/3B4/4n1bn/8/PPP1NP1P/5RK1 b - - 1 20;-998;-1020
1B1R4/pp3pbp/2k3p1/8/4n1bn/1B6/PPP1NP1P/5RK1 w - - 0 19;950;987
1B1R4/pp3ppk/4p2p/8/2r5/8/PPP2nPP/2K5 b - - 5 25;10;22
1B1R4/pp3ppk/4p2p/8/4n1r1/4K3/PPP3PP/8 w - - 10 27;72;66
1B1R4/pp3ppk/4p2p/8/4r3/8/PPP2nPP/2K5 w - - 6 25;8;8
1B1R4/pp3ppk/4p2p/8/4r3/8/PPPK1nPP/8 b - - 7 26;0;0
1B1R4/pp3ppk/4p2p/8/6r1/4K3/PPP2nPP/8 b - - 9 27;-59;-68
1B1R4/pp3ppk/4p2p/8/6r1/8/PPPK1nPP/8 w - - 8 26;73;69
1B1R4/pp3ppk/7p/8/1P2r3/P1P2b2/1P3P1P/5K2 b - - 2 30;-29;-29
1B1R4/pp3rbk/2p3p1/1P6/P1P1B2p/7b/5P2/6K1 b - - 1 41;43;45
1B1R4/pp3rpk/7p/2p5/2P1n3/P7/7P/7K b - - 3 37;242;242
1B1R4/pp4kp/2p3p1/8/2n1r3/P5PP/1b3P2/5BK1 w - - 2 26;91;98
1B1R4/pp4pk/8/2P2r2/1P4p1/8/P1r3P1/6K1 b - - 3 32;389;409
1B1R4/pp4pk/8/2P2r2/1P6/6p1/P1r3P1/6K1 w - - 0 32;-374;-377
1B1R4/pp5n/2p5/5k2/2P3n1/1B6/Pb3PK1/8 b - - 1 37;-423;-412
1B1R4/pp5p/7q/1kpn4/4R3/1P5P/6PK/8 b - - 7 36;37;38
1B1R4/pp5p/8/1kpn2q1/4R3/1P5P/6PK/8 w - - 8 36;-33;-45
1B1R4/pp6/2p2n2/5k2/2P3n1/1B6/Pb3PK1/8 w - - 2 37;397;407
1B1R4/pp6/2r1k2p/4P1p1/4p3/3nP1P1/8/1K6 w - - 10 42;-243;-253
1B1R4/pp6/2r4p/3kP1p1/4p3/3nP1P1/8/1K6 b - - 9 42;247;247
1B1R4/pp6/5k2/2p2p2/2P4r/2P5/P1K5/8 b - - 2 48;-310;-304
1B1R4/pp6/5k2/2p2p2/2r5/1KP5/P7/8 b - - 1 49;-304;-310
1B1R4/pp6/5k2/2p2p2/2r5/2P5/P1K5/8 w - - 0 48;303;302
1B1R4/pp6/5k2/2p2p2/4r3/1KP5/P7/8 w - - 2 49;310;306
1B1R4/pr2k2p/1p4p1/8/1P3Pn1/P5P1/7P/6K1 w - - 3 34;87;82
1B1R4/pr3bk1/1p3b2/6p1/P5Bp/7P/2P2PP1/6K1 w - - 2 41;50;56
1B1R4/pr3k1p/1p4p1/8/1P3Pn1/P5P1/7P/6K1 b - - 2 34;-77;-70
1B1R4/pr3pkp/4r1p1/2b5/P7/7P/6P1/2R4K b - - 2 32;137;131
1B1R4/pr3pkp/4r1p1/2b5/P7/7P/6P1/5R1K w - - 1 31;-121;-123
1B1R4/pr3pkp/4r1p1/6b1/P7/7P/6P1/3R3K w - - 5 33;-130;-139
1B1R4/pr3pkp/4r1p1/8/P7/4b2P/6P1/2R4K w - - 3 32;-129;-132
1B1R4/pr3pkp/4r1p1/8/P7/4b2P/6P1/3R3K b - - 4 33;137;143
1B1R4/pr4bk/6pp/n7/2pN3P/2P2b2/PP3P2/5BK1 b - - 4 29;-6;0
1B1R4/pr4bk/6pp/nN6/2p4P/2P2b2/PP3P2/5BK1 w - - 3 28;0;0
1B1R4/pr5k/2n3pp/8/2pP3P/5b2/PP3P2/5BK1 w - - 1 30;11;11
1B1R4/pr5k/6pp/n7/2pP3P/5b2/PP3P2/5BK1 b - - 0 30;0;-11
1B1R4/pr5k/6pp/n7/2pb3P/2P2b2/PP3P2/5BK1 w - - 0 29;0;10
1B1R4/pr6/1p2pp1b/5k2/5P2/2P2KP1/PP6/8 b - - 5 41;-173;-167
1B1R4/pr6/1p2ppkb/8/5P2/2P2KP1/PP6/8 w - - 6 41;178;184
1B1R4/pr6/6p1/1p3p2/4k3/PP5P/K1Pn4/8 b - - 8 41;114;126
1B1R4/pr6/6p1/1p3p2/8/PP2k2P/K1Pn4/8 w - - 9 41;-94;-100
1B1R4/r2bbk1p/p3p1p1/2p2p2/2P5/1P3B2/P4PPP/6K1 w - - 5 30;156;153
1B1R4/r3k1pp/5p2/4p3/1PP1P3/1K3P2/6PP/8 b - - 0 44;-731;-751
1B1R4/r3k2p/2p5/P4pp1/2p1p3/2P3PP/1P3P1K/8 b - - 0 38;-304;-326
1B1R4/r3npbk/2p3pp/2N1n3/4P3/1N4PP/5PK1/8 b - - 2 40;-68;-70
1B1R4/r3nrk1/bpP1p3/4P1p1/p7/6P1/P5BP/2R3K1 b - - 7 35;-578;-573
1B1R4/r4k1p/p4Pp1/2b3P1/1p2r3/1P6/1PP5/1K1R4 b - - 6 39;-346;-355
1B1R4/r4qk1/p4pn1/2P1pQp1/P7/6P1/5PK1/8 b - - 2 51;-264;-265
1B1R4/r4rk1/bpB1p3/4P1p1/p7/6P1/P6P/2R3K1 b - - 0 36;-588;-600
1B1R4/r4rk1/bpn1p3/4P1p1/p7/6P1/P5BP/2R3K1 w - - 0 35;570;585
1B1R4/r5p1/p1p3k1/PpPnKp1p/1P3P1P/8/8/8 b - - 20 49;-39;-48
1B1R4/rK6/7p/8/5b2/5k1P/8/8 w - - 0 63;597;603
1B1R4/rb3k1p/4p1p1/8/3p4/5P2/PPr3PP/3R2K1 b - - 3 36;-203;-200
1B1R4/rp3ppk/pN5p/5b2/8/P6P/1PP3P1/2K5 b - - 2 30;-750;-756
1B1R4/rp4bk/pN5p/2p3p1/P3p3/1b6/1P3PPP/6K1 b - - 1 29;-353;-363
1B1R4/rp5k/pN5p/2p3p1/P3p3/1b6/1b3PPP/6K1 w - - 0 29;363;370
1B1R4/rq4k1/p4pn1/2P1pQp1/P7/6P1/5P1K/8 b - - 4 52;-576;-525
1B1R4/rq4k1/p4pn1/2P1pQp1/P7/6P1/5PK1/8 w - - 3 51;556;563
1B1RQ3/6pk/4r2p/8/pp6/6P1/5P1P/6K1 b - - 0 39;-1016;-1029
1B1RR3/5rkp/1p4p1/2p2p2/P2b3P/8/2r3P1/7K b - - 1 32;320;339
1B1RR3/5rkp/1p4p1/2p5/P2b1p1P/8/2r3P1/7K w - - 0 32;-352;-346
1B1RR3/pp3rp1/2r3nk/3p3p/P2P3P/1P1P1pP1/5K2/8 w - - 1 37;79;60
1B1RR3/pp3rp1/5rnk/3p3p/3P3P/1P1P1pP1/P4K2/8 b - - 2 36;-55;-67
1B1RR3/pp3rp1/r5nk/3p3p/3P3P/1P1P1pP1/P4K2/8 w - - 3 36;62;56
1B1RR3/pp3rp1/r5nk/3p3p/P2P3P/1P1P1pP1/5K2/8 b - a3 0 37;-41;-45
1B1RRb2/1b3pkp/2q3p1/2p5/1p6/5P1P/PP4P1/6K1 b - - 2 30;0;0
1B1RRb2/1b3pkp/2q3p1/8/1pp5/5P1P/PP4P1/6K1 w - - 0 30;0;0
1B1RRbk1/5r1p/p4p2/1p1r2p1/3P4/6P1/PP3P1P/6K1 b - - 1 26;-131;-126
1B1RRbk1/p2r1rpp/1p3p2/7P/8/P7/5PP1/6K1 b - - 3 32;-17;-8
1B1Rb1k1/5p1p/1p2rP2/p1b1R3/2p5/2P5/6PP/5K2 b - - 1 29;-248;-268
1B1Rb1k1/5p1p/1p2rP2/p1b2R2/2p5/2P5/6PP/5K2 w - a6 0 28;396;403
1B1Rb1k1/p3r1bp/Bp3pp1/4p3/P1P1P3/1P3PP1/7P/6K1 b - - 3 33;-215;-227
1B1Rb1k1/p4p1p/1p2rP2/2b2R2/2p5/2P5/6PP/5K2 b - - 5 28;-223;-229
1B1Rb1k1/p4p1p/1p2rP2/2b2R2/2p5/2P5/6PP/6K1 w - - 4 27;274;322
1B1Rb1k1/r4ppp/p7/2N5/8/5P2/P3r1PP/5RK1 b - - 0 24;-495;-510
1B1Rb1r1/4P1pk/4Qp2/1p5q/p1p4p/P1P2P1P/6PK/8 b - - 7 62;-172;-166
1B1Rbb2/p3rk1p/Bp3pp1/4p3/P1P1P3/1P3PP1/7P/5K2 w - - 6 34;208;230
1B1Rbbk1/p3r2p/Bp3pp1/4p3/P1P1P3/1P3PP1/7P/5K2 b - - 5 34;-223;-221
1B1Rbbk1/p3r2p/Bp3pp1/4p3/P1P1P3/1P3PP1/7P/6K1 w - - 4 33;208;220
1B1Rbbk1/p4p1p/1p2rP2/5R2/2p5/2P5/6PP/6K1 b - - 3 27;-215;-186
1B1Rbbk1/p4p1p/1p2rP2/8/2p5/2P5/6PP/5RK1 w - - 2 26;191;197
1B1Rbk2/5p1p/1p2rP2/p1R5/2p5/2P5/6PP/5K2 b - - 0 30;-223;-226
1B1Rbk2/5p1p/1p2rP2/p1b1R3/2p5/2P5/6PP/5K2 w - - 2 29;321;329
1B1Rbk2/5p1p/1p3r2/p1R5/2p5/2P5/4K1PP/8 b - - 1 31;-229;-218
1B1Rbk2/5p1p/1p3r2/p1R5/2p5/2P5/6PP/5K2 w - - 0 30;220;227
1B1Rbk2/5p1p/5r2/p1p5/2p5/2P5/4K1PP/8 w - - 0 31;220;232
1B1Rbrk1/p5b1/Pp6/2p5/4p1p1/2P5/1P3PP1/3R2K1 b - - 3 41;-412;-441
1B1Rbrk1/p7/Pp3b2/2p5/4p1p1/2P5/1P3PP1/3R2K1 w - - 4 41;441;447
1B1Rk2r/1p3p2/p1b1pnpp/8/5QP1/P6P/1bB2P2/1K6 b k - 0 29;-804;-811
1B1Rk2r/1p3p2/pqb1pnpp/8/5QP1/P6P/1bB2P2/1K1R4 b k - 3 28;-787;-812
1B1Rk3/8/8/8/pPn2KP1/P7/8/8 b - - 0 50;-165;-165
1B1Rk3/p3b1pp/1p2pp2/8/bPr5/P4P2/4N1PP/3R2K1 b - - 0 26;144;151
1B1Rn1k1/1R3p2/2r3pp/p1b1P3/8/5P1P/r5P1/7K w - - 0 29;368;384
1B1Rn1k1/1R3p2/r1N3pp/p1b1P3/8/5P1P/r5P1/7K b - - 3 29;-372;-386
1B1Rn1k1/1b4p1/pp2pp1p/8/2r1P3/P1N2P2/1P4PP/1K6 b - - 1 27;-45;-55
1B1Rn1k1/1p3p2/p3r2p/2p3p1/2P5/1P3P2/P5PP/6K1 b - - 1 34;-103;-96
1B1Rn1k1/P5p1/2b3P1/2P2P2/8/1P5p/r7/2K5 b - - 0 36;-3;-9
1B1Rn1k1/P5p1/2b3P1/2P5/5P1p/1P6/r7/2K5 b - - 1 35;0;0
1B1Rn1k1/P5p1/2b3P1/2P5/5P2/1P5p/r7/2K5 w - - 0 35;0;0
1B1Rn1k1/r2b1p1p/6p1/4P3/p4P2/6PP/2P3B1/6K1 b - - 1 34;-500;-503
1B1Rn1k1/r5p1/2b3P1/2P2P2/8/1P5p/8/2K5 w - - 0 36;0;0
1B1Rn2k/1p4p1/2p1rpp1/p7/8/1PP3P1/P4PKP/8 w - a6 0 31;140;150
1B1Rn2k/1p4p1/2p1rpp1/p7/P7/1PP3P1/5PKP/8 b - a3 0 32;-133;-129
1B1Rn2k/8/ppr3b1/2p3P1/4pN2/P1P5/2P2P2/2K5 b - - 3 33;-378;-388
1B1Rn2k/pp4p1/2p1rpp1/8/8/1PP3P1/P4PKP/8 b - - 3 31;-109;-118
1B1Rn3/1b2rppk/1p2p2p/1Pp5/2P5/5PP1/4P2P/5BK1 b - - 0 27;-181;-185
1B1Rn3/1b2rppk/1p2p2p/1pp5/P1P5/5PP1/4P2P/5BK1 w - - 0 26;177;179
1B1Rn3/1b2rppk/pp2p2p/1Pp5/2P5/P4PP1/4P2P/5BK1 w - - 0 25;225;218
1B1Rn3/1b2rppk/pp2p2p/1Pp5/P1P5/5PP1/4P2P/5BK1 b - - 0 26;-158;-155
1B1Rn3/1p2bk1p/3p4/P2Pp3/1P2Pp2/N4P2/4K1P1/8 b - - 0 39;-370;-382
1B1Rn3/1p2q2k/p1p2bpp/8/2P2QP1/1P3B1P/P4K2/8 b - - 0 42;-18;-18
1B1Rn3/1p2r3/p2p4/P2Pp1k1/1P2P2p/6PK/8/8 w - - 0 45;113;115
1B1Rn3/1p2r3/p2p4/P2Pp1kp/1P2P3/6PK/8/8 b - - 10 45;-112;-125
1B1Rn3/1p2rpk1/p1p3p1/2b1P2p/2n4P/2N3PB/PP3P2/6K1 w - - 7 32;37;49
1B1Rn3/1p2rpk1/p1p3p1/2b1P2p/N1n4P/6PB/PP3P2/6K1 b - - 8 33;-42;-39
1B1Rn3/1p2rpk1/p1p3p1/4P2p/Nbn4P/6PB/PP3P2/6K1 w - - 9 33;58;68
1B1Rn3/1p3pk1/p1p1r1p1/2b1P2p/2n4P/2N3P1/PP3PB1/6K1 w - - 5 31;143;168
1B1Rn3/1p3pk1/p1p1r1p1/2b1P2p/2n4P/2N3PB/PP3P2/6K1 b - - 6 32;-27;-45
1B1Rn3/1p3pk1/p3r2p/2p3p1/2P5/1P3P2/P5PP/6K1 w - - 2 34;134;141
1B1Rn3/1p3pk1/pnp1r1p1/2b1P2p/7P/2N3P1/PP3PB1/6K1 b - - 4 31;-79;-79
1B1Rn3/1p4pk/2p1rpp1/p7/P7/1PP3P1/5PKP/8 w - - 1 32;122;132
1B1Rn3/1q2kp1p/4p1p1/p2p4/Pb4P1/1Q4KP/1P3P2/4n3 w - - 8 34;-1042;-1053
1B1Rn3/2q2kpp/1p2b3/1P2p3/4pp2/P7/5PPP/3R1BK1 b - - 1 28;127;134
1B1Rn3/2r5/6kp/6p1/8/6PP/7K/8 w - - 0 52;348;348
1B1Rn3/5kpp/1p2b3/1Pq1p3/4pp2/P7/5PPP/3R1BK1 w - - 2 28;-70;-77
1B1Rn3/5pkp/pp6/5p2/8/5P1P/P1r3P1/5K2 b - - 1 30;0;0
1B1Rn3/5rpk/p4P1p/1p4r1/4Q3/1Pq4P/P6K/3R4 b - - 0 33;-993;-1017
1B1Rn3/5rpk/p5rp/1p3P2/4Q3/1Pq4P/P6K/3R4 b - - 0 32;-330;-329
1B1Rn3/5rpk/p5rp/1p6/4QP2/1Pq4P/P6K/3R4 w - - 0 31;339;382
1B1Rn3/5rpk/p6p/1p3Pr1/4Q3/1Pq4P/P6K/3R4 w - - 1 32;906;913
1B1Rn3/6pk/1pr2p1p/1pp5/4P3/P3KP1P/1P4P1/8 b - - 3 28;-116;-116
1B1Rn3/p6p/4k3/1P6/r4n2/8/7P/6K1 b - - 3 43;277;270
1B1Rn3/pb2rppk/1p2p2p/1Pp5/2P5/P4PP1/4P2P/5BK1 b - - 2 25;-199;-201
1B1Rnb1r/4pk1p/5pp1/2N5/P1p5/4PP2/1P3P1P/2K5 b - - 4 23;-366;-368
1B1Rnb1r/4pk1p/6p1/2N2p2/P1p5/4PP2/1P3P1P/2K5 w - - 0 23;523;536
1B1Rnb1r/4pk1p/6p1/P1N2p2/2p5/4PP2/1P3P1P/2K5 b - - 0 24;-539;-582
1B1Rnb1r/5k1p/4p1p1/P1N2p2/2p5/4PP2/1P3P1P/2K5 w - - 0 24;749;777
1B1Rnbk1/1B3ppp/1p4n1/p7/1P3P2/P7/5P1P/5K2 b - - 1 28;-746;-753
1B1Rnk2/1q3p1p/4p1p1/p2p4/Pb4P1/1Q4KP/1P3P2/4n3 b - - 7 34;1138;1146
1B1Rnk2/4r2r/p3Nppp/4p3/2Pn2P1/5B2/2P2P1P/1R4K1 b - - 0 32;-191;-186
1B1Rnk2/4r2r/p3bppp/2N1p3/2Pn2P1/5B2/2P2P1P/1R4K1 w - - 1 31;256;293
1B1Rnk2/4r2r/p3bppp/2N1pn2/2P3P1/5B2/2P2P1P/1R4K1 b - g3 0 31;-239;-303
1B1Rnk2/4r2r/p3bppp/2N1pn2/2P5/5B2/2P2PPP/1R4K1 w - - 2 30;398;392
1B1Rnk2/4r2r/p4ppp/3Bp3/2Pn2P1/8/2P2P1P/1R4K1 w - - 2 33;733;746
1B1Rnk2/7r/p3rppp/3Bp3/2Pn2P1/8/2P2P1P/1R4K1 b - - 1 33;-259;-253
1B1Rnk2/7r/p3rppp/4p3/2Pn2P1/5B2/2P2P1P/1R4K1 w - - 0 32;263;258
1B1Rnq2/p1P1p1bk/5rpp/5b2/2Q5/2P4P/P4PP1/4R1K1 b - - 0 29;-491;-498
1B1Rnq2/p3p1bk/2P2rpp/5b2/2Q5/2P4P/P4PP1/4R1K1 w - - 5 28;566;593
1B1Rnq2/p3prbk/2P3pp/5b2/2Q5/2P4P/P4PP1/4R1K1 b - - 4 28;-436;-444
1B1Rnr2/1p2k1pp/p1b2p2/4p3/2P2n2/4N3/P4KPP/3R4 w - - 16 28;0;0
1B1Rnr2/1p3kpp/p4p2/3Npb2/2P5/8/Pn4PP/R5K1 w - - 4 22;89;96
1B1Rnr2/1p3kpp/p4p2/4p3/2P1b3/4N3/Pn4PP/R5K1 w - - 6 23;24;27
1B1Rnr2/1p3kpp/p4p2/4pb2/2P5/4N3/Pn4PP/R5K1 b - - 5 23;-39;-46
1B1Rnr2/1p4pp/p1b1kp2/4p3/2P2n2/4N3/P4KPP/3R4 b - - 15 28;0;0
1B1Rnrk1/1p4pp/p4p2/3Npb2/2P5/8/Pn4PP/R5K1 b - - 3 22;-81;-87
1B1Rnrk1/1p4pp/p4p2/4pb2/2P5/2N5/Pn4PP/R5K1 w - - 2 21;77;84
1B1Rq1k1/Q6p/2p2pp1/4p3/6b1/2P4P/P7/5B1K b - - 0 34;-164;-179
1B1Rq1k1/Q6p/2p2pp1/4p3/8/2P2b1P/P7/5B1K w - - 1 34;158;163
1B1Rq1k1/Q6p/2p2pp1/4p3/8/2P2b1P/P7/5BK1 b - - 2 35;-120;-118
1B1Rq3/R4pbk/6pp/1Pp5/1np5/4P2P/5PP1/1Q5K b - - 0 34;-194;-180
1B1Rr1b1/pq4pk/1pp1pn1p/8/1P2P3/P1N4P/B2Q1PP1/6K1 b - - 0 32;-512;-518
1B1Rr1k1/1b2r1pp/2q1pp2/Qp6/5P2/P7/6PP/5R1K w - - 2 30;-148;-160
1B1Rr1k1/1b2r1pp/2q1pp2/Qp6/5P2/P7/6PP/6RK b - - 3 31;156;163
1B1Rr1k1/1p2n1pp/8/Pp2P1b1/8/1N4P1/1PP4P/5RK1 b - - 0 27;-236;-243
1B1Rr1k1/1p3ppp/p1r2nb1/P1p5/2P1P1P1/5P2/4B2P/R5K1 w - - 1 29;196;201
1B1Rr1k1/1p3q2/p1r4p/6p1/4Q3/P3P2P/1P3PP1/3R2K1 b - - 0 33;-801;-793
1B1Rr1k1/1p3q2/p3r2p/6p1/2Q5/P3P2P/1P3PP1/3R2K1 b - - 2 34;-771;-793
1B1Rr1k1/1p3q2/p3r2p/6p1/4Q3/P3P2P/1P3PP1/3R2K1 w - - 1 33;816;825
1B1Rr1k1/5pbp/6p1/1Q1Pp3/6q1/2P3P1/1P2RP1P/6K1 b - - 0 34;-287;-293
1B1Rr1k1/5q2/p3r2p/1p4p1/2Q5/P3P2P/1P3PP1/3R2K1 w - b6 0 34;858;875
1B1Rr1k1/pb3pp1/1p3n1p/2p5/2B5/5P2/PP4PP/6K1 w - - 4 24;64;67
1B1Rr1k1/pp1R2pp/5p2/1PP5/2P1r3/P3n3/6PP/6K1 b - - 6 32;-272;-305
1B1Rr1k1/pp4pp/5p2/1PP2n2/2P1r3/P7/6PP/3R2K1 b - - 4 31;-203;-204
1B1Rr1k1/pp4pp/5p2/1PP5/2P1r3/P3n3/6PP/3R2K1 w - - 5 31;317;310
1B1Rr1k1/rp2nbb1/1Np2n1p/p4p2/5p1P/1P2P1P1/P4P2/3R1BK1 w - - 0 25;223;237
1B1Rr1k1/rp2nbb1/1Np2n1p/p4pp1/5N1P/1P2P1P1/P4P2/3R1BK1 b - - 1 25;-233;-224
1B1Rr2k/p3q1pp/Bp5n/5p2/1P6/P1Q1Pb1P/5PP1/2R3K1 b - - 0 28;-545;-543
1B1Rr2k/p5bp/1p4p1/8/6P1/5P2/7P/2R2BK1 b - - 0 43;-394;-405
1B1Rr3/5qpk/p1p5/P3n3/K6p/1PP5/8/3Q4 b - - 2 47;84;109
1B1Rr3/6b1/1p4bk/p1pP4/PnNp4/3P4/1P3P2/6K1 w - - 8 38;-381;-372
1B1Rr3/6pk/7p/8/pp6/6P1/5P1P/6K1 w - - 0 39;1063;1200
1B1Rr3/8/p2n4/6pp/6k1/3K4/7P/8 w - - 4 46;-225;-229
1B1Rr3/kp2P3/pn4b1/5p2/6p1/P7/2P3B1/6K1 b - - 3 35;-707;-719
1B1Rr3/kp5p/p1q2pr1/2P2Q2/P7/2P1pnP1/2P2P1P/3R3K b - - 3 30;-6;-6
1B1Rr3/kp6/p1p1q1p1/2b5/5P2/7Q/PP2r1PP/5R1K b - - 8 37;-101;-105
1B1Rrbk1/1p3qpp/2p5/6n1/2P2p2/1NP5/P4PPP/3Q2K1 b - - 4 31;0;0
1B1Rrbk1/1p3qpp/2p5/6n1/2P5/1NP2p2/P4PPP/3Q2K1 w - - 0 31;4;0
1B1Rrbk1/6p1/p1p5/1p2p1pb/P1p1P3/5PPB/1P5P/6K1 w - - 3 26;41;33
1B1b1N2/4k3/6p1/p7/4KP1n/1P5P/8/8 w - - 5 40;117;113
1B1b1N2/8/4k1p1/p7/4KP1n/1P5P/8/8 b - - 4 40;-109;-120
1B1b1R2/3r2n1/R3p3/p5p1/Pp1pk3/1P5P/4K3/8 b - - 9 50;0;0
1B1b1R2/3r2n1/R7/p3p1p1/Pp1pk3/1P5P/3K4/8 b - - 1 51;0;0
1B1b1R2/3r2n1/R7/p3p1p1/Pp1pk3/1P5P/4K3/8 w - - 0 50;0;0
1B1b1R2/6n1/2R5/p2rp1p1/Pp1pk3/1P5P/3K4/8 b - - 3 52;0;0
